NO,PO,DelName,DelContactPhoneNumber,ADDR1,Addr2,DivLoc,ApptInfo,CITY,State,Zip,COUNTRY,DELCONTACT,PhoneNumber,PartNum,Quantity,,ReqShipDate,FREIGHT,,CARRIER,,BILL TO ,BILL TO EMAIL ADDRESS,,,,,BILL TO CITY,BILL TO STATE,BILL TO ZIPCODE
NO,LG022616E14,DOLLAR GENERAL #11824,,419 MARKET ST,,,,SADDLE BROOK,NJ,7663,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SADDLE BROOK,NJ,7663
NO,LG022616E15,DOLLAR GENERAL #11810,,11 RIVER RD STE 35,,,,NORTH ARLINGTON,NJ,7031,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NORTH ARLINGTON,NJ,7031
NO,LG022616E16,DOLLAR GENERAL #14393,,7200 WHITES CREEK PIKE,,,,JOELTON,TN,37080,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,JOELTON,TN,37080
NO,LG022616E17,DOLLAR GENERAL #2595,,2724 MURFREESBORO PIKE,,,,ANTIOCH,TN,37013,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ANTIOCH,TN,37013
NO,LG022616E18,DOLLAR GENERAL #8347,,601 GALLATIN PIKE N,,,,MADISON,TN,37115,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MADISON,TN,37115
NO,LG022616E19,DOLLAR GENERAL #16314,,113 GLENLOCK RD,,,,SWEETWATER,TN,37874,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SWEETWATER,TN,37874
NO,LG022616E20,DOLLAR GENERAL #16336,,200 W. 4TH,,,,ALTAMONT,KS,67330,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ALTAMONT,KS,67330
NO,LG022616E21,DOLLAR GENERAL #16414,,1011 S. MAIN STREET,,,,PRINCETON,IN,47670,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PRINCETON,IN,47670
NO,LG022616E22,DOLLAR GENERAL #16399,,302 S. HWY 20,,,,LAUREL,NE,68745,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAUREL,NE,68745
NO,LG022616E23,DOLLAR GENERAL #16240,,43700 STATE HWY 299 E,,,,FALL RIVER MILLS,CA,96028,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,FALL RIVER MILLS,CA,96028
NO,LG022616E24,DOLLAR GENERAL #16343,,241 SOUTH BENTON STREET,,,,MILLERSBURG,IN,46543,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MILLERSBURG,IN,46543
NO,LG022616E25,DOLLAR GENERAL #16407,,124 CAMDEN STREET,,,,LILESVILLE,NC,28091,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LILESVILLE,NC,28091
NO,LG022616E26,DOLLAR GENERAL #15979,,3228 EAST MAIN ROAD,,,,PORTSMOUTH,RI,2871,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PORTSMOUTH,RI,2871
NO,LG022616E27,DOLLAR GENERAL #16490,,130 HIGHWAY 33 SOUTH,,,,ROXIE,MS,39661,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ROXIE,MS,39661
NO,LG022616E28,DOLLAR GENERAL #15897,,111 WEST MAIN ST,,,,STAFFORD,CT,6075,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,STAFFORD,CT,6075
NO,LG022616E29,DOLLAR GENERAL #16239,,2636 BALTIMORE PIKE,,,,NOTTINGHAM,PA,19363,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NOTTINGHAM,PA,19363
NO,LG022616E30,DOLLAR GENERAL #16378,,20950 E. BRITTON RD.,,,,HARRAH,OK,73045,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HARRAH,OK,73045
NO,LG022616E31,DOLLAR GENERAL #16154,,15 TELCO WAY,,,,ETNA,CA,96027,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ETNA,CA,96027
NO,LG022616E32,DOLLAR GENERAL #15947,,24247 CONSTITUTION HWY,,,,UNIONVILLE,VA,22567,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,UNIONVILLE,VA,22567
NO,LG022616E33,DOLLAR GENERAL #16061,,145 S. MAIN ST.,,,,LISBON,NH,3585,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LISBON,NH,3585
NO,LG022616E34,DOLLAR GENERAL #16227,,9301 W C-476,,,,BUSHNELL,FL,33513,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BUSHNELL,FL,33513
NO,LG022616E35,DOLLAR GENERAL #16535,,7 GRIGGS ROAD,,,,FORT MITCHELL,AL,36856,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,FORT MITCHELL,AL,36856
NO,LG022616E36,DOLLAR GENERAL #16387,,5025 NC 96 HWY N,,,,SELMA,NC,27576,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SELMA,NC,27576
NO,LG022616E37,DOLLAR GENERAL #16528,,110 PAMELA DRIVE,,,,MACON,GA,31217,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MACON,GA,31217
NO,LG022616E38,DOLLAR GENERAL #16474,,9293 FM 418,,,,SILSBEE,TX,77656,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SILSBEE,TX,77656
NO,LG022616E39,DOLLAR GENERAL #16612,,4660 107 CUTOFF,,,,GREENEVILLE,TN,37743,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,GREENEVILLE,TN,37743
NO,LG022616E40,DOLLAR GENERAL #11564,,721 E JEFFERSON AVE,,,,RICHLAND,MO,65556,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,RICHLAND,MO,65556
NO,LG022616E41,DOLLAR GENERAL #11577,,11848 STATE ROUTE 131,,,,SYMSONIA,KY,42082,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SYMSONIA,KY,42082
NO,LG022616E42,DOLLAR GENERAL #11758,,510 E MAIN ST,,,,SALEM,KY,42078,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SALEM,KY,42078
NO,LG022616E43,DOLLAR GENERAL #11636,,3138 US HIGHWAY 17 S,,,,ZOLFO SPRINGS,FL,33890,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ZOLFO SPRINGS,FL,33890
NO,LG022616E44,DOLLAR GENERAL #11659,,300 N ROY HILL BLVD,,,,GOODMAN,MO,64843,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,GOODMAN,MO,64843
NO,LG022616E45,DOLLAR GENERAL #8823,,2556 RUSSELLVILLE RD,,,,BOWLING GREEN,KY,42101,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BOWLING GREEN,KY,42101
NO,LG022616E46,DOLLAR GENERAL #10061,,1000 S POWERLINE RD,,,,POMPANO BEACH,FL,33069,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,POMPANO BEACH,FL,33069
NO,LG022616E47,DOLLAR GENERAL #6534,,4625 HIGHWAY 1,,,,NAPOLEONVILLE,LA,70390,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NAPOLEONVILLE,LA,70390
NO,LG022616E48,DOLLAR GENERAL #11690,,112 E NASHVILLE ST,,,,PEMBROKE,KY,42266,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PEMBROKE,KY,42266
NO,LG022616E49,DOLLAR GENERAL #6826,,6345 MAIN HWY,,,,SAINT MARTINVILLE,LA,70582,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SAINT MARTINVILLE,LA,70582
NO,LG022616E50,DOLLAR GENERAL #10618,,7706 WEEKS ISLAND RD,,,,NEW IBERIA,LA,70560,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NEW IBERIA,LA,70560
NO,LG022616E51,DOLLAR GENERAL #6132,,7026 US HIGHWAY 301 N,,,,ELLENTON,FL,34222,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ELLENTON,FL,34222
NO,LG022616E52,DOLLAR GENERAL #7102,,2535 W KEARNEY ST,,,,SPRINGFIELD,MO,65803,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SPRINGFIELD,MO,65803
NO,LG022616E53,DOLLAR GENERAL #11140,,1342 W MOUNT VERNON ST,,,,NIXA,MO,65714,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NIXA,MO,65714
NO,LG022616E54,DOLLAR GENERAL #11404,,400 S ALEX PLAISANCE BLVD,,,,GOLDEN MEADOW,LA,70357,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,GOLDEN MEADOW,LA,70357
NO,LG022616E55,DOLLAR GENERAL #16274,,110 W. MAIN STREET,,,,ROGUE RIVER,OR,97537,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ROGUE RIVER,OR,97537
NO,LG022616E56,DOLLAR GENERAL #16408,,1508 NORTH JEFFERSON ST,,,,ALBANY,GA,31701,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ALBANY,GA,31701
NO,LG022616E57,DOLLAR GENERAL #16375,,14565 US HWY 72,,,,ATHENS,AL,35611,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ATHENS,AL,35611
NO,LG022616E58,DOLLAR GENERAL #16504,,6159 19E HWY,,,,SPRUCE PINE,NC,28777,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SPRUCE PINE,NC,28777
NO,LG022616E59,DOLLAR GENERAL #16339,,4500 S NC 39 HWY,,,,HENDERSON,NC,27537,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HENDERSON,NC,27537
NO,LG022616E60,DOLLAR GENERAL #16571,,402 N COUNTY RD. 57,,,,WINTHROP,MN,55396,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WINTHROP,MN,55396
NO,LG022616E61,DOLLAR GENERAL #15682,,13685 ROUTE 76,,,,POPLAR GROVE,IL,61065,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,POPLAR GROVE,IL,61065
NO,LG022616E62,DOLLAR GENERAL #16186,,901 N ROANE ST,,,,HARRIMAN,TN,37748,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,HARRIMAN,TN,37748
NO,LG022616E63,DOLLAR GENERAL #16325,,419 S PAW PAW STREET,,,,LAWRENCE,MI,49064,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAWRENCE,MI,49064
NO,LG022616E64,DOLLAR GENERAL #16362,,3050 HIGHWAY 66 S,,,,ROGERSVILLE,TN,37857,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ROGERSVILLE,TN,37857
NO,LG022616E65,DOLLAR GENERAL #16372,,12530 HWY 24 EAST,,,,DAVISBORO,GA,31018,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,DAVISBORO,GA,31018
NO,LG022616E66,DOLLAR GENERAL #16379,,122 E. U.S. HIGHWAY 69,,,,DENISON,TX,75021,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,DENISON,TX,75021
NO,LG022616E67,DOLLAR GENERAL #16410,,5870 HIGHWAY 27,,,,CENTER POINT,TX,78010,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CENTER POINT,TX,78010
NO,LG022616E68,DOLLAR GENERAL #16412,,5643 CASAR RD,,,,CASAR,NC,28020,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CASAR,NC,28020
NO,LG022616E69,DOLLAR GENERAL #16447,,111 E. DIVISION STREET,,,,NEILLSVILLE,WI,54456,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NEILLSVILLE,WI,54456
NO,LG022616E70,DOLLAR GENERAL #16480,,1612 N. WHEELING AVENUE,,,,MUNCIE,IN,47303,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MUNCIE,IN,47303
NO,LG022616E71,DOLLAR GENERAL #16507,,131 N. NEBRASKA STREET,,,,SALEM,SD,57058,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SALEM,SD,57058
NO,LG022616E72,DOLLAR GENERAL #16382,,736 N.MAIN STREET,,,,OPELOUSAS,LA,70570,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,OPELOUSAS,LA,70570
NO,LG022616E73,DOLLAR GENERAL #16531,,815 MINNESOTA AVENUE WEST,,,,WALKER,MN,56484,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WALKER,MN,56484
NO,LG022616E74,DOLLAR GENERAL #16328,,16157 HIGHWAY 26W,,,,LUCEDALE,MS,39452,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LUCEDALE,MS,39452
NO,LG022616E75,DOLLAR GENERAL #16420,,401 STATE HWY 13 SOUTH,,,,NEW RICHLAND,MN,56072,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NEW RICHLAND,MN,56072
NO,LG022616E76,DOLLAR GENERAL #16346,,4781 LAPEER RD,,,,KIMBALL,MI,48074,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,KIMBALL,MI,48074
NO,LG022616E77,DOLLAR GENERAL #16347,,6885 WHITEHALL RD,,,,WHITEHALL,MI,49461,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WHITEHALL,MI,49461
NO,LG022616E78,DOLLAR GENERAL #16405,,5035 HOOPER HWY,,,,COSBY,TN,37722,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,COSBY,TN,37722
NO,LG022616E79,DOLLAR GENERAL #16424,,410 2ND ST. NORTHEAST,,,,ELBOW LAKE,MN,56531,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ELBOW LAKE,MN,56531
NO,LG022616E80,DOLLAR GENERAL #16460,,2622 COURTLAND RD,,,,SOUTH PRINCE GEORGE,VA,23805,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SOUTH PRINCE GEORGE,VA,23805
NO,LG022616E81,DOLLAR GENERAL #16461,,7306 GREENVILLE RD,,,,ELKTON,KY,42220,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ELKTON,KY,42220
NO,LG022616E82,DOLLAR GENERAL #16463,,226 HIGHWAY 79 SOUTH,,,,GIBSON,TN,38338,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,GIBSON,TN,38338
NO,LG022616E83,DOLLAR GENERAL #16532,,500 5TH AVENUE SOUTH,,,,COON RAPIDS,IA,50058,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,COON RAPIDS,IA,50058
NO,LG022616E84,DOLLAR GENERAL #16616,,1041 SOUTH OTTER AVENUE,,,,PARKERS PRAIRIE,MN,56361,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PARKERS PRAIRIE,MN,56361
NO,LG022616E85,DOLLAR GENERAL #16344,,845 N STATE ROAD 21,,,,MELROSE,FL,32666,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,MELROSE,FL,32666
NO,LG022616E86,DOLLAR GENERAL #6662,,2315 OLD JEANERETTE RD,,,,NEW IBERIA,LA,70563,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,NEW IBERIA,LA,70563
